nombre,precio,categoria,descripcion,precio_oferta,stock,marca,activo,destacado,variante_talla,variante_color,variante_material,variante_estilo,variante_imagen
Chaqueta Windrunner,129.99,Chaquetas,Chaqueta cortavientos clásica,109.99,45,Nike,si,si,"S,M,L,XL","Negro,Blanco,Azul",,,color
Bomber MA-1 Alpha,159.99,Chaquetas,Bomber militar reversible,139.99,35,Alpha Industries,si,si,"S,M,L,XL","Negro,Verde Oliva,Navy",,,color
Track Jacket Firebird,89.99,Chaquetas,Chaqueta track Originals,79.99,55,Adidas,si,no,"S,M,L,XL","Negro,Azul,Rojo",,,color
Denim Jacket Trucker,99.99,Chaquetas,Chaqueta denim clásica,89.99,40,Levi's,si,si,"S,M,L,XL","Azul Claro,Azul Oscuro,Negro",,,color
Coach Jacket,79.99,Chaquetas,Chaqueta coach nylon,69.99,60,Carhartt WIP,si,no,"S,M,L,XL","Negro,Navy,Verde",,,color
Puffer Jacket,149.99,Chaquetas,Chaqueta acolchada ligera,129.99,30,The North Face,si,si,"S,M,L,XL","Negro,Navy,Rojo",,,color
Harrington Jacket,119.99,Chaquetas,Chaqueta Harrington clásica,99.99,40,Ben Sherman,si,no,"S,M,L,XL","Navy,Negro,Burgundy",,,color
Fleece Jacket Denali,139.99,Chaquetas,Chaqueta polar Denali,119.99,35,The North Face,si,no,"S,M,L,XL","Negro,Gris,Azul",,,color
Varsity Jacket,109.99,Chaquetas,Chaqueta universitaria,89.99,45,Champion,si,no,"S,M,L,XL","Negro/Blanco,Navy/Blanco,Rojo/Blanco",,,color
Rain Jacket Torrentshell,129.99,Chaquetas,Chaqueta impermeable,109.99,40,Patagonia,si,no,"S,M,L,XL","Negro,Azul,Verde",,,color
Jeans 501 Original,89.99,Jeans,Jeans rectos originales,79.99,70,Levi's,si,si,"28,30,32,34,36","Azul Medio,Azul Oscuro,Negro",,,color
Jeans 511 Slim,85.00,Jeans,Jeans slim fit,75.00,65,Levi's,si,si,"28,30,32,34,36","Azul,Negro,Gris",,,color
Jeans Skinny Hi-Rise,79.99,Jeans,Jeans skinny tiro alto,69.99,55,Guess,si,no,"24,26,28,30,32","Azul,Negro,Blanco",,,color
Jeans Straight Fit,75.00,Jeans,Jeans corte recto,65.00,60,Wrangler,si,no,"28,30,32,34,36","Azul,Negro",,,color
Jeans Relaxed Fit,82.00,Jeans,Jeans corte relajado,72.00,50,Diesel,si,no,"28,30,32,34,36","Azul Medio,Negro",,,color
Jeans Mom Fit,69.99,Jeans,Jeans mom vintage,59.99,45,Pull&Bear,si,no,"24,26,28,30,32","Azul Claro,Azul Medio",,,color
Jeans Cargo,95.00,Jeans,Jeans cargo con bolsillos,85.00,40,G-Star RAW,si,no,"28,30,32,34,36","Negro,Caqui,Azul",,,color
Jeans Bootcut,78.00,Jeans,Jeans bootcut clásico,68.00,35,True Religion,si,no,"28,30,32,34,36","Azul,Negro",,,color
Jeans Ripped,72.00,Jeans,Jeans con rotos,62.00,55,Zara,si,no,"28,30,32,34,36","Azul Claro,Azul Medio,Negro",,,color
Jeans Wide Leg,85.00,Jeans,Jeans pierna ancha,75.00,40,Mango,si,no,"24,26,28,30,32","Azul,Blanco,Negro",,,color
Camisa Oxford,59.99,Camisas,Camisa Oxford clásica,49.99,80,Ralph Lauren,si,si,"S,M,L,XL","Blanco,Azul Claro,Rosa",,,color
