nombre,precio,categoria,descripcion,precio_oferta,stock,marca,activo,destacado,variante_talla,variante_color,variante_material,variante_estilo,variante_imagen
Polo Classic Fit,49.99,Polos,Polo de algodón premium con logo bordado,39.99,100,Nike,si,si,"S,M,L,XL","Negro,Blanco,Azul",,,color
Polo Sport Performance,55.00,Polos,Polo deportivo Climalite transpirable,45.00,80,Adidas,si,si,"S,M,L,XL","Negro,Blanco,Rojo",,,color
Polo Pique Classic,89.99,Polos,Polo clásico de piqué con cocodrilo,79.99,60,Lacoste,si,si,"S,M,L,XL","Verde,Azul,Blanco",,,color
Polo Tech UA,59.99,Polos,Polo técnico anti-transpirante,49.99,70,Under Armour,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Polo Twin Tipped,95.00,Polos,Polo icónico con ribetes en cuello,85.00,50,Fred Perry,si,si,"S,M,L","Navy,Blanco,Burgundy",,,color
Polo Custom Slim,99.99,Polos,Polo slim fit con logo pony bordado,89.99,45,Ralph Lauren,si,si,"S,M,L,XL","Blanco,Azul,Rosa",,,color
Polo Essential,79.99,Polos,Polo algodón premium con bandera,69.99,55,Tommy Hilfiger,si,no,"S,M,L,XL","Blanco,Navy,Rojo",,,color
Polo Heritage Cat,45.00,Polos,Polo casual con logo Cat bordado,35.00,90,Puma,si,no,"S,M,L,XL","Negro,Blanco,Rojo",,,color
Polo Archive F-Box,42.00,Polos,Polo retro con logo F-Box vintage,32.00,75,Fila,si,no,"S,M,L","Blanco,Navy,Rojo",,,color
Polo Golf Pro,75.00,Polos,Polo profesional para golf Dri-FIT,65.00,30,Nike,si,si,"S,M,L,XL","Negro,Blanco,Navy",,,color
Air Max 90,149.99,Zapatillas,Zapatillas icónicas con cámara de aire visible,129.99,50,Nike,si,si,"38,39,40,41,42,43,44","Blanco,Negro,Rojo",,,color
Ultraboost 22,189.99,Zapatillas,Zapatillas running con tecnología Boost,169.99,40,Adidas,si,si,"38,39,40,41,42,43,44","Negro,Blanco,Azul",,,color
Old Skool,75.00,Zapatillas,Zapatillas clásicas de skate con raya lateral,65.00,80,Vans,si,si,"38,39,40,41,42,43","Negro,Blanco,Checkerboard",,,color
574 Core,99.99,Zapatillas,Zapatillas lifestyle clásicas con N lateral,89.99,60,New Balance,si,no,"38,39,40,41,42,43,44","Gris,Navy,Rojo",,,color
Suede Classic,89.99,Zapatillas,Zapatillas de gamuza icónicas con formstrip,79.99,55,Puma,si,no,"38,39,40,41,42,43","Negro,Azul,Rojo",,,color
Club C 85,85.00,Zapatillas,Zapatillas tenis retro de cuero,75.00,65,Reebok,si,no,"38,39,40,41,42,43,44","Blanco,Verde,Navy",,,color
Stan Smith,99.99,Zapatillas,Zapatillas tenis clásicas de cuero blanco,89.99,70,Adidas,si,si,"38,39,40,41,42,43,44","Blanco,Verde,Navy",,,color
Air Force 1,119.99,Zapatillas,Zapatillas basketball icónicas de cuero,109.99,55,Nike,si,si,"38,39,40,41,42,43,44","Blanco,Negro,Rojo",,,color
Gazelle,95.00,Zapatillas,Zapatillas retro de gamuza con 3 rayas,85.00,60,Adidas,si,no,"38,39,40,41,42,43","Negro,Azul,Rojo",,,color
Sk8-Hi,85.00,Zapatillas,Zapatillas altas de skate con sidestripe,75.00,75,Vans,si,no,"38,39,40,41,42,43","Negro,Blanco,Rojo",,,color
Jordan 1 Mid,159.99,Zapatillas,Zapatillas basketball icónicas de media caña,149.99,35,Nike,si,si,"40,41,42,43,44","Negro,Rojo,Blanco",,,color
Samba OG,109.99,Zapatillas,Zapatillas indoor clásicas con suela de goma,99.99,50,Adidas,si,si,"38,39,40,41,42,43","Negro,Blanco,Verde",,,color
Swoosh Hoodie,75.00,Sudaderas,Sudadera con capucha y logo Swoosh bordado,65.00,80,Nike,si,si,"S,M,L,XL","Negro,Gris,Blanco",,,color
Trefoil Hoodie,79.99,Sudaderas,Sudadera con capucha Originals y Trefoil,69.99,70,Adidas,si,si,"S,M,L,XL","Negro,Blanco,Navy",,,color
Reverse Weave Hoodie,89.99,Sudaderas,Sudadera heavyweight con tejido invertido,79.99,60,Champion,si,si,"S,M,L,XL","Gris,Negro,Burgundy",,,color
Essential Hoodie,59.99,Sudaderas,Sudadera con capucha ESS logo Cat,49.99,90,Puma,si,no,"S,M,L,XL","Negro,Gris,Azul",,,color
Armour Fleece Hoodie,69.99,Sudaderas,Sudadera Armour Fleece con capucha,59.99,65,Under Armour,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Logo Hoodie TH,99.99,Sudaderas,Sudadera con logo bordado y bandera,89.99,50,Tommy Hilfiger,si,si,"S,M,L,XL","Navy,Gris,Blanco",,,color
Crew Neck Vintage,55.00,Sudaderas,Sudadera cuello redondo estilo vintage,45.00,75,Fila,si,no,"S,M,L,XL","Blanco,Navy,Rojo",,,color
Archive Hoodie,65.00,Sudaderas,Sudadera con capucha colección Archive,55.00,70,Reebok,si,no,"S,M,L,XL","Negro,Gris,Blanco",,,color
Tech Fleece Hoodie,119.99,Sudaderas,Sudadera Tech Fleece premium ligera,109.99,45,Nike,si,si,"S,M,L,XL","Negro,Gris,Navy",,,color
Adicolor Hoodie,85.00,Sudaderas,Sudadera Adicolor clásica con 3 rayas,75.00,55,Adidas,si,no,"S,M,L,XL","Negro,Azul,Rojo",,,color
Dri-FIT Short,35.00,Shorts,Short deportivo con tecnología Dri-FIT,29.00,120,Nike,si,si,"S,M,L,XL","Negro,Gris,Azul",,,color
Tiro Short,32.00,Shorts,Short de entrenamiento Tiro con rayas,25.00,100,Adidas,si,no,"S,M,L,XL","Negro,Blanco,Rojo",,,color
UA Tech Short,39.99,Shorts,Short técnico UA anti-olor,32.99,80,Under Armour,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Essential Short,29.99,Shorts,Short deportivo ESS con logo Cat,24.99,95,Puma,si,no,"S,M,L,XL","Negro,Gris,Azul",,,color
Authentic Short,45.00,Shorts,Short casual stretch elástico,39.00,70,Vans,si,no,"28,30,32,34,36","Negro,Caqui,Navy",,,color
Mesh Short,35.00,Shorts,Short mesh deportivo transpirable,29.00,85,Champion,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Club Short,39.99,Shorts,Short French terry con Swoosh,34.99,75,Nike,si,no,"S,M,L,XL","Negro,Gris,Blanco",,,color
3-Stripes Short,38.00,Shorts,Short clásico con 3 rayas laterales,32.00,90,Adidas,si,si,"S,M,L,XL","Negro,Navy,Rojo",,,color
Training Short,32.00,Shorts,Short entrenamiento CrossFit,26.00,80,Reebok,si,no,"S,M,L,XL","Negro,Gris,Azul",,,color
Archive Short,36.00,Shorts,Short retro colección Archive,30.00,65,Fila,si,no,"S,M,L,XL","Navy,Blanco,Rojo",,,color
501 Original,89.99,Jeans,Jeans rectos originales desde 1873,79.99,70,Levi's,si,si,"28,30,32,34,36","Azul Medio,Azul Oscuro,Negro",,,color
511 Slim Fit,85.00,Jeans,Jeans slim fit moderno con stretch,75.00,65,Levi's,si,si,"28,30,32,34,36","Azul,Negro,Gris",,,color
Skinny Hi-Rise,79.99,Jeans,Jeans skinny tiro alto para mujer,69.99,55,Guess,si,no,"24,26,28,30,32","Azul,Negro,Blanco",,,color
