nombre,precio,categoria,descripcion,precio_oferta,stock,marca,activo,destacado,variante_talla,variante_color,variante_material,variante_estilo,variante_imagen
Polo Classic Fit Nike,49.99,Polos,Polo de algodón premium con logo bordado,39.99,100,Nike,si,si,"S,M,L,XL","Negro,Blanco,Azul",,,color
Polo Sport Performance Adidas,55.00,Polos,Polo deportivo Climalite,45.00,80,Adidas,si,si,"S,M,L,XL","Negro,Blanco,Rojo",,,color
Polo Pique Lacoste,89.99,Polos,Polo clásico de piqué con cocodrilo,79.99,60,Lacoste,si,si,"S,M,L,XL","Verde,Azul,Blanco",,,color
Polo Tech Under Armour,59.99,Polos,Polo técnico UA Tech,49.99,70,Under Armour,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Polo Twin Tipped Fred Perry,95.00,Polos,Polo icónico con ribetes,85.00,50,Fred Perry,si,si,"S,M,L","Navy,Blanco,Burgundy",,,color
Polo Custom Slim Ralph Lauren,99.99,Polos,Polo slim fit con logo pony,89.99,45,Ralph Lauren,si,si,"S,M,L,XL","Blanco,Azul,Rosa",,,color
Polo Essential Tommy Hilfiger,79.99,Polos,Polo algodón premium Tommy,69.99,55,Tommy Hilfiger,si,no,"S,M,L,XL","Blanco,Navy,Rojo",,,color
Polo Heritage Puma,45.00,Polos,Polo casual con logo Cat,35.00,90,Puma,si,no,"S,M,L,XL","Negro,Blanco,Rojo",,,color
Polo Archive Fila,42.00,Polos,Polo retro con logo F-Box,32.00,75,Fila,si,no,"S,M,L","Blanco,Navy,Rojo",,,color
Polo Croc Logo Lacoste,95.00,Polos,Polo premium petit piqué,85.00,40,Lacoste,si,si,"S,M,L,XL","Negro,Verde,Blanco",,,color
Air Max 90 Nike,149.99,Zapatillas,Zapatillas icónicas Air Max,129.99,50,Nike,si,si,"38,39,40,41,42,43,44","Blanco,Negro,Rojo",,,color
Ultraboost 22 Adidas,189.99,Zapatillas,Zapatillas running Boost,169.99,40,Adidas,si,si,"38,39,40,41,42,43,44","Negro,Blanco,Azul",,,color
Old Skool Vans,75.00,Zapatillas,Zapatillas clásicas skate,65.00,80,Vans,si,si,"38,39,40,41,42,43","Negro,Blanco,Checkerboard",,,color
574 Core New Balance,99.99,Zapatillas,Zapatillas lifestyle clásicas,89.99,60,New Balance,si,no,"38,39,40,41,42,43,44","Gris,Navy,Rojo",,,color
Suede Classic Puma,89.99,Zapatillas,Zapatillas de gamuza icónicas,79.99,55,Puma,si,no,"38,39,40,41,42,43","Negro,Azul,Rojo",,,color
Club C 85 Reebok,85.00,Zapatillas,Zapatillas tenis retro,75.00,65,Reebok,si,no,"38,39,40,41,42,43,44","Blanco,Verde,Navy",,,color
Stan Smith Adidas,99.99,Zapatillas,Zapatillas tenis clásicas,89.99,70,Adidas,si,si,"38,39,40,41,42,43,44","Blanco,Verde,Navy",,,color
Air Force 1 Nike,119.99,Zapatillas,Zapatillas basketball icónicas,109.99,55,Nike,si,si,"38,39,40,41,42,43,44","Blanco,Negro,Rojo",,,color
Gazelle Adidas,95.00,Zapatillas,Zapatillas retro de gamuza,85.00,60,Adidas,si,no,"38,39,40,41,42,43","Negro,Azul,Rojo",,,color
Sk8-Hi Vans,85.00,Zapatillas,Zapatillas altas skate,75.00,75,Vans,si,no,"38,39,40,41,42,43","Negro,Blanco,Rojo",,,color
Hoodie Swoosh Nike,75.00,Sudaderas,Sudadera con capucha logo Swoosh,65.00,80,Nike,si,si,"S,M,L,XL","Negro,Gris,Blanco",,,color
Trefoil Hoodie Adidas,79.99,Sudaderas,Sudadera con capucha Originals,69.99,70,Adidas,si,si,"S,M,L,XL","Negro,Blanco,Navy",,,color
Reverse Weave Champion,89.99,Sudaderas,Sudadera heavyweight premium,79.99,60,Champion,si,si,"S,M,L,XL","Gris,Negro,Burgundy",,,color
Essential Hoodie Puma,59.99,Sudaderas,Sudadera con capucha ESS,49.99,90,Puma,si,no,"S,M,L,XL","Negro,Gris,Azul",,,color
Fleece Hoodie Under Armour,69.99,Sudaderas,Sudadera Armour Fleece,59.99,65,Under Armour,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Logo Hoodie Tommy Hilfiger,99.99,Sudaderas,Sudadera con logo bordado,89.99,50,Tommy Hilfiger,si,si,"S,M,L,XL","Navy,Gris,Blanco",,,color
Crew Neck Fila,55.00,Sudaderas,Sudadera cuello redondo vintage,45.00,75,Fila,si,no,"S,M,L,XL","Blanco,Navy,Rojo",,,color
Archive Hoodie Reebok,65.00,Sudaderas,Sudadera con capucha Archive,55.00,70,Reebok,si,no,"S,M,L,XL","Negro,Gris,Blanco",,,color
Tech Fleece Nike,119.99,Sudaderas,Sudadera Tech Fleece premium,109.99,45,Nike,si,si,"S,M,L,XL","Negro,Gris,Navy",,,color
