nombre,precio,categoria,descripcion,precio_oferta,stock,marca,activo,destacado,variante_talla,variante_color,variante_material,variante_estilo,variante_imagen
Polo Classic Fit,49.99,Polos,Polo de algodón premium con cuello bordado,39.99,100,Nike,si,si,"S,M,L","Negro,Blanco,Azul",,,color
Polo Sport Performance,59.99,Polos,Polo dry-fit para entrenamiento,49.99,80,Adidas,si,no,"S,M,L","Rojo,Azul,Verde",,,color
Polo Casual Stripe,45.00,Polos,Polo a rayas estilo casual,35.00,60,Puma,si,no,"M,L,XL","Blanco,Gris,Navy",,,color
Polo Premium Cotton,65.00,Polos,Polo de algodón egipcio,55.00,50,Lacoste,si,si,"S,M,L",,"Algodón,Algodón Egipcio,Pima",,material
Polo Tech Cool,55.00,Polos,Polo tecnología anti-transpirante,45.00,70,Under Armour,si,no,"S,M,L,XL","Negro,Gris,Azul",,,color
Polo Slim Modern,52.00,Polos,Polo corte slim moderno,,90,Champion,si,no,"S,M,L","Blanco,Negro,Rojo",,,color
Polo Business,68.00,Polos,Polo elegante para oficina,58.00,40,Tommy Hilfiger,si,si,"M,L,XL","Azul,Blanco,Rosa",,,color
Polo Street Style,48.00,Polos,Polo urbano con logo grande,,85,Fila,si,no,"S,M,L","Negro,Rojo,Blanco",,,color
Polo Golf Pro,75.00,Polos,Polo profesional para golf,65.00,30,Nike,si,si,"S,M,L,XL",,"Poliéster,Dry-Fit,Tech",,material
Polo Heritage,58.00,Polos,Polo estilo heritage,48.00,55,Fred Perry,si,si,"M,L,XL","Negro,Blanco,Burgundy",,,color
Zapatilla Runner Pro,129.99,Zapatillas,Zapatilla para correr con amortiguación,109.99,60,Nike,si,si,"38,40,42","Negro,Blanco,Rojo",,,color
Zapatilla Urban Street,89.99,Zapatillas,Zapatilla urbana casual,79.99,80,Adidas,si,no,"39,41,43","Blanco,Negro,Gris",,,color
Zapatilla Retro Classic,99.00,Zapatillas,Zapatilla estilo retro,85.00,50,New Balance,si,si,"38,40,42,44","Gris,Azul,Verde",,,color
Zapatilla Skate Pro,85.00,Zapatillas,Zapatilla para skateboard,75.00,70,Vans,si,no,"39,41,43",,"Canvas,Suede,Cuero",,material
Zapatilla Training Max,119.00,Zapatillas,Zapatilla entrenamiento gym,99.00,45,Reebok,si,no,"38,40,42","Negro,Azul,Naranja",,,color
Zapatilla Basketball Air,159.00,Zapatillas,Zapatilla de basketball premium,139.00,35,Nike,si,si,"40,42,44","Negro,Rojo,Blanco",,,color
Zapatilla Tennis Court,95.00,Zapatillas,Zapatilla para tenis,85.00,55,Adidas,si,no,"38,40,42","Blanco,Negro,Verde",,,color
Zapatilla Platform,88.00,Zapatillas,Zapatilla plataforma mujer,78.00,65,Fila,si,no,"36,38,40","Blanco,Rosa,Negro",,,color
Zapatilla Hiking Trail,135.00,Zapatillas,Zapatilla para senderismo,115.00,40,The North Face,si,si,"40,42,44",,"Gore-Tex,Impermeable,Standard",,material
Zapatilla Lifestyle,79.00,Zapatillas,Zapatilla casual diaria,69.00,90,Puma,si,no,"39,41,43","Gris,Negro,Azul",,,color
Sudadera Hoodie Classic,75.00,Sudaderas,Sudadera con capucha algodón,65.00,80,Nike,si,si,"S,M,L,XL","Negro,Gris,Azul",,,color
Sudadera Crew Neck,65.00,Sudaderas,Sudadera cuello redondo,55.00,70,Adidas,si,no,"S,M,L","Gris,Negro,Verde",,,color
Sudadera Zip Full,85.00,Sudaderas,Sudadera con cremallera completa,75.00,60,Puma,si,no,"M,L,XL","Negro,Rojo,Azul",,,color
Sudadera Oversize,70.00,Sudaderas,Sudadera corte oversized,60.00,90,Champion,si,si,"S,M,L",,,"Oversize,Regular,Slim",estilo
Sudadera Tech Fleece,95.00,Sudaderas,Sudadera tech fleece premium,85.00,50,Nike,si,si,"S,M,L,XL",,"Fleece,Tech Fleece,Cotton",,material
Sudadera Vintage Logo,68.00,Sudaderas,Sudadera con logo vintage,58.00,75,Fila,si,no,"M,L,XL","Azul,Rojo,Blanco",,,color
Sudadera Sport Essential,72.00,Sudaderas,Sudadera deportiva básica,62.00,85,Under Armour,si,no,"S,M,L","Negro,Gris,Navy",,,color
Sudadera Sherpa,92.00,Sudaderas,Sudadera forro sherpa,82.00,50,Patagonia,si,si,"S,M,L,XL",,"Sherpa,Fleece,Polar",,material
Sudadera Minimalist,65.00,Sudaderas,Sudadera estilo minimalista,,95,Uniqlo,si,no,"S,M,L","Gris,Beige,Negro",,,color
Sudadera Street Art,82.00,Sudaderas,Sudadera con estampado artístico,72.00,45,Supreme,si,si,"M,L,XL","Negro,Blanco,Multicolor",,,color
Short Deportivo Pro,35.00,Shorts,Short deportivo transpirable,29.00,100,Nike,si,no,"S,M,L,XL","Negro,Gris,Azul",,,color
Short Running Light,38.00,Shorts,Short para running ultraligero,32.00,90,Adidas,si,si,"S,M,L",,"Mesh,Dry-Fit,Woven",,material
Short Basketball,42.00,Shorts,Short estilo basketball,35.00,70,Nike,si,no,"M,L,XL","Negro,Blanco,Rojo",,,color
Short Casual Chino,45.00,Shorts,Short casual tipo chino,38.00,80,Dockers,si,no,"30,32,34","Beige,Navy,Oliva",,,color
Short Training Gym,32.00,Shorts,Short para gimnasio,28.00,110,Under Armour,si,no,"S,M,L,XL","Negro,Gris,Azul",,,color
Short Swim Beach,40.00,Shorts,Short de baño para playa,35.00,75,Quiksilver,si,no,"S,M,L",,"Quick-Dry,Standard,Stretch",,material
Short Cargo Urban,48.00,Shorts,Short cargo estilo urbano,42.00,60,Carhartt,si,no,"30,32,34,36","Caqui,Negro,Oliva",,,color
Short Compression,35.00,Shorts,Short de compresión deportivo,30.00,85,Nike,si,no,"S,M,L",,,"Compresión,Regular,Loose",estilo
Short Tennis,38.00,Shorts,Short para tenis,32.00,65,Adidas,si,no,"S,M,L,XL","Blanco,Negro,Azul",,,color
Short Denim,48.00,Shorts,Short de mezclilla,42.00,65,Levi's,si,no,"28,30,32,34","Azul,Negro",,,color
Camiseta Basic Tee,25.00,Camisetas,Camiseta básica algodón,19.00,150,Uniqlo,si,no,"S,M,L,XL","Negro,Blanco,Gris",,,color
Camiseta Logo Print,32.00,Camisetas,Camiseta con logo estampado,26.00,120,Nike,si,si,"S,M,L","Negro,Blanco,Rojo",,,color
Camiseta V-Neck,28.00,Camisetas,Camiseta cuello V,22.00,100,H&M,si,no,"S,M,L,XL",,,"V-Neck,Crew,Scoop",estilo
Camiseta Graphic Art,35.00,Camisetas,Camiseta con gráfico artístico,29.00,80,Vans,si,no,"S,M,L","Negro,Blanco,Tie-Dye",,,color
Camiseta Sport Tech,38.00,Camisetas,Camiseta deportiva tech,32.00,90,Under Armour,si,no,"S,M,L,XL",,"Poliéster,Dry-Fit,Algodón",,material
Camiseta Oversize,30.00,Camisetas,Camiseta corte oversized,25.00,110,Zara,si,si,"S,M,L",,,"Oversize,Boxy,Regular",estilo
Camiseta Long Sleeve,35.00,Camisetas,Camiseta manga larga,29.00,85,Carhartt,si,no,"S,M,L,XL","Negro,Blanco,Gris",,,color
Camiseta Henley,32.00,Camisetas,Camiseta estilo henley,27.00,70,Levi's,si,no,"S,M,L",,,"Henley,Polo,Crew",estilo
Camiseta Premium,32.00,Camisetas,Camiseta premium peso medio,27.00,130,Champion,si,si,"S,M,L,XL",,"Algodón Pima,Algodón,Jersey",,material
Camiseta Tie-Dye,38.00,Camisetas,Camiseta efecto tie-dye,32.00,60,Urban Outfitters,si,no,"S,M,L","Multicolor,Azul,Rosa",,,color
Pantalón Jogger Sport,55.00,Pantalones,Pantalón jogger deportivo,45.00,80,Nike,si,si,"S,M,L,XL","Negro,Gris,Navy",,,color
Pantalón Chino Classic,65.00,Pantalones,Pantalón chino clásico,55.00,70,Dockers,si,no,"30,32,34,36","Beige,Navy,Gris",,,color
Pantalón Cargo,68.00,Pantalones,Pantalón cargo multibolsillos,58.00,60,Carhartt,si,no,"30,32,34",,,"Cargo,Slim,Regular",estilo
Pantalón Track,52.00,Pantalones,Pantalón track deportivo,45.00,85,Adidas,si,no,"S,M,L,XL","Negro,Azul,Rojo",,,color
Pantalón Denim Slim,75.00,Pantalones,Jeans slim fit,65.00,55,Levi's,si,si,"30,32,34,36",,,"Slim,Skinny,Regular",estilo
Pantalón Tech Fleece,85.00,Pantalones,Pantalón tech fleece,75.00,50,Nike,si,si,"S,M,L,XL",,"Tech Fleece,Fleece,French Terry",,material
Pantalón Wide Leg,62.00,Pantalones,Pantalón corte ancho,52.00,65,Zara,si,no,"S,M,L","Negro,Beige,Marrón",,,color
Pantalón Corduroy,70.00,Pantalones,Pantalón de pana,60.00,45,Uniqlo,si,no,"30,32,34",,"Pana,Algodón,Denim",,material
Pantalón Stretch,58.00,Pantalones,Pantalón stretch confortable,48.00,75,H&M,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Pantalón Carpenter,65.00,Pantalones,Pantalón carpintero,55.00,55,Dickies,si,no,"30,32,34",,,"Carpenter,Work,Relaxed",estilo
Gorra Baseball Cap,25.00,Accesorios,Gorra estilo baseball,20.00,120,Nike,si,no,,"Negro,Blanco,Azul",,,color
Gorra Snapback,28.00,Accesorios,Gorra snapback ajustable,23.00,100,New Era,si,si,,"Negro,Rojo,Gris",,,color
Gorra Dad Hat,22.00,Accesorios,Gorra estilo dad hat,18.00,110,Adidas,si,no,,,"Algodón,Canvas,Denim",,material
Gorra Trucker,26.00,Accesorios,Gorra trucker con malla,21.00,90,Vans,si,no,,"Negro,Azul,Rojo",,,color
Gorra Bucket,30.00,Accesorios,Sombrero bucket,25.00,70,Champion,si,no,,,"Canvas,Nylon,Terry",,material
Mochila Urban Pack,65.00,Mochilas,Mochila urbana resistente,55.00,60,Nike,si,si,,"Negro,Gris,Navy",,,color
Mochila School,45.00,Mochilas,Mochila escolar básica,38.00,80,JanSport,si,no,,"Rojo,Azul,Negro",,,color
Mochila Laptop Pro,75.00,Mochilas,Mochila con compartimento laptop,65.00,50,Herschel,si,si,,,"Nylon,Canvas,Poliéster",,material
Mochila Mini,35.00,Mochilas,Mochila mini compacta,30.00,90,Fjällräven,si,no,,"Amarillo,Rosa,Verde",,,color
Mochila Travel,85.00,Mochilas,Mochila de viaje expandible,75.00,40,The North Face,si,no,,,"Impermeable,Standard,Ligera",,material
Cinturón Classic,35.00,Accesorios,Cinturón de cuero clásico,30.00,100,Levi's,si,no,"S,M,L",,"Cuero,Cuero Genuino,Sintético",,material
Cinturón Canvas,28.00,Accesorios,Cinturón de lona,23.00,110,Dickies,si,no,,"Negro,Azul,Verde",,,color
Calcetines Pack x3,18.00,Accesorios,Pack de 3 calcetines deportivos,15.00,150,Nike,si,no,"S,M,L","Negro,Blanco,Gris",,,color
Calcetines Premium,25.00,Accesorios,Calcetines premium algodón,20.00,120,Stance,si,no,"S,M,L",,"Algodón,Bambú,Merino",,material
Bufanda Knit,38.00,Accesorios,Bufanda tejida de lana,32.00,60,Zara,si,no,,,"Lana,Acrílico,Cashmere",,material
Polo Essential Navy,48.00,Polos,Polo esencial color navy,40.00,85,Gap,si,no,"S,M,L,XL","Navy,Blanco,Gris",,,color
Polo Weekend,42.00,Polos,Polo casual de fin de semana,35.00,95,Old Navy,si,no,"S,M,L","Azul,Verde,Coral",,,color
Polo Performance Plus,62.00,Polos,Polo alto rendimiento,52.00,65,Under Armour,si,si,"S,M,L,XL",,"Performance,Dry-Fit,Tech",,material
Polo Heritage,58.00,Polos,Polo estilo heritage,48.00,55,Fred Perry,si,si,"M,L,XL","Negro,Blanco,Burgundy",,,color
Polo Summer Fresh,45.00,Polos,Polo fresco para verano,38.00,100,H&M,si,no,"S,M,L,XL",,"Lino,Algodón,Blend",,material
Zapatilla Air Max,175.00,Zapatillas,Zapatilla Air Max clásica,155.00,40,Nike,si,si,"38,40,42,44","Negro,Blanco,Rojo",,,color
Zapatilla Superstar,125.00,Zapatillas,Zapatilla Superstar icónica,110.00,55,Adidas,si,si,"38,40,42","Blanco,Negro,Dorado",,,color
Zapatilla Old Skool,85.00,Zapatillas,Zapatilla Old Skool clásica,75.00,70,Vans,si,si,"38,40,42,44",,"Canvas,Suede,Leather",,material
Zapatilla 574,120.00,Zapatillas,Zapatilla 574 retro,105.00,50,New Balance,si,no,"39,41,43","Gris,Azul,Verde",,,color
